png_path,angle
../basep/raw/png_ref/957-46655849.png,27
../basep/raw/png_ref/85-77997880.png,22
../basep/raw/png_lat/2634-107598073.png,28
../basep/raw/png_ref/1975-69484352.png,17
../basep/raw/png_ref/2693-50183842.png,30
../basep/raw/png_ref/1081-28263719.png,8
../basep/raw/png_lat/963-105701801.png,21
../basep/raw/png_ref/874-94293539.png,15
../basep/raw/png_ref/1093-50494464.png,6
../basep/raw/png_ref/2113-47465132.png,1
../basep/raw/png_lat/1293-106045080.png,25
../basep/raw/png_lat/2534-107516232.png,28
../basep/raw/png_lat/2593-107563573.png,22
../basep/raw/png_ref/1031-95601599.png,15
../basep/raw/png_lat/1919-106946526.png,13
../basep/raw/png_lat/1585-106626770.png,18
../basep/raw/png_ref/1255-46927685.png,30
../basep/raw/png_lat/2638-107605114.png,7
../basep/raw/png_lat/1685-106745173.png,0
../basep/raw/png_lat/742-105560159.png,3
../basep/raw/png_ref/1351-64443783.png,18
../basep/raw/png_ref/357-64610210.png,2
../basep/raw/png_lat/1736-106764458.png,15
../basep/raw/png_ref/1049-15621931.png,2
../basep/raw/png_ref/1261-70543742.png,8
../basep/raw/png_lat/2361-107351412.png,21
../basep/raw/png_lat/909-105673310.png,24
../basep/raw/png_lat/1550-106585033.png,29
../basep/raw/png_ref/2316-40487019.png,20
../basep/raw/png_ref/1514-59060045.png,19
../basep/raw/png_lat/2305-107291398.png,4
../basep/raw/png_lat/851-105635490.png,29
../basep/raw/png_lat/1707-106746696.png,2
../basep/raw/png_lat/174-105108392.png,22
../basep/raw/png_ref/2294-6288621.png,5
../basep/raw/png_ref/1843-66514793.png,8
../basep/raw/png_lat/1196-105893394.png,20
../basep/raw/png_lat/1720-106752178.png,4
../basep/raw/png_ref/1861-61275701.png,26
../basep/raw/png_ref/979-52867517.png,27
../basep/raw/png_ref/2171-54398612.png,1
../basep/raw/png_ref/1490-51350959.png,3
../basep/raw/png_lat/2116-107121253.png,24
../basep/raw/png_ref/2534-61264113.png,17
../basep/raw/png_ref/2100-83485944.png,22
../basep/raw/png_lat/1134-105834881.png,10
../basep/raw/png_lat/226-105163201.png,16
../basep/raw/png_lat/89-105038061.png,27
../basep/raw/png_ref/1943-94357875.png,19
../basep/raw/png_lat/1124-105834257.png,16
../basep/raw/png_ref/2441-90309452.png,16
../basep/raw/png_lat/1728-106761898.png,24
../basep/raw/png_ref/1369-53947212.png,22
../basep/raw/png_lat/17-104951833.png,16
../basep/raw/png_ref/580-52818257.png,7
../basep/raw/png_lat/286-105205816.png,2
../basep/raw/png_ref/2507-81011993.png,14
../basep/raw/png_ref/1493-86648921.png,30
../basep/raw/png_ref/31-53055277.png,19
../basep/raw/png_ref/771-8200287.png,11
../basep/raw/png_ref/783-20328798.png,22
../basep/raw/png_ref/2497-52914671.png,14
../basep/raw/png_lat/1452-106388229.png,25
../basep/raw/png_ref/1692-67839385.png,16
../basep/raw/png_lat/852-105635541.png,9
../basep/raw/png_lat/1252-105971674.png,29
../basep/raw/png_ref/1254-19605732.png,4
../basep/raw/png_ref/2282-83454719.png,23
../basep/raw/png_ref/2400-61021716.png,15
../basep/raw/png_lat/1701-106746038.png,27
../basep/raw/png_ref/761-65906113.png,5
